B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GNDVI,NDVI,PSRI,SAVI,Top,Landcover
0.1128,9.0E-4,0.1291,0.0462,0.0821,0.0675,0.0391,0.0705,0.1981,0.2667,0.2476,0.3081,0.0387,0.7254975597489922,0.64057505,0.7747696,-0.09217788,0.47627477242244226,1.9125924,Forest
0.1121,9.0E-4,0.1319,0.046,0.0805,0.06615,0.03695,0.06595,0.19445,0.2652,0.2462,0.3032,0.0386,0.7226021927515853,0.64180315,0.7827429,-0.09630608,0.47536155135958796,1.993953,Forest
0.1114,9.0E-4,0.1308,0.0447,0.0818,0.0708,0.0377,0.069,0.2212,0.3048,0.3025,0.3507,0.041,0.8122274958284792,0.66405696,0.80587023,-0.09438266,0.5284781505075747,1.8474575,Forest
0.1053,8.0E-4,0.1163,0.0429,0.0756,0.0626,0.0352,0.0619,0.1818,0.2447,0.2291,0.2747,0.0414,0.6515942612772431,0.6288171,0.77282995,-0.09974519,0.4435732628233703,1.8578274,Forest
0.1093,9.0E-4,0.1302,0.0544,0.0784,0.0657,0.0398,0.0693,0.1671,0.2187,0.1968,0.2498,0.0365,0.5829447045299564,0.5835182,0.7251381,-0.10368296,0.39893616682487903,1.9817351,Forest
0.1032,8.0E-4,0.137,0.0474,0.0749,0.0647,0.0341,0.0669,0.2188,0.3061,0.3024,0.3377,0.0417,0.7740554025037218,0.6784294,0.8165681,-0.09061297,0.5223675263944058,2.1174653,Forest
0.1023,9.0E-4,0.125,0.0443,0.0741,0.061,0.0322,0.0562,0.1886,0.2613,0.2503,0.2949,0.0349,0.7044028596708797,0.6572071,0.8031183,-0.09766022,0.47642364619162864,2.0491803,Forest
0.1087,8.0E-4,0.12375,0.0457,0.0791,0.06615,0.0372,0.06835,0.189,0.2525,0.2451,0.28905,0.0359,0.6851197078016965,0.6275338,0.77195406,-0.10015568,0.4572163547441886,1.8707483,Forest
0.1064,8.0E-4,0.1083,0.0389,0.0779,0.0632,0.0354,0.0561,0.162,0.219,0.2153,0.2485,0.0322,0.6077111860224099,0.5944819,0.75061643,-0.11187121,0.4077688555040023,1.7136077,Forest
0.1069,9.0E-4,0.1312,0.0459,0.0769,0.0643,0.0344,0.0601,0.1873,0.2522,0.2442,0.291,0.0409,0.6967903075496221,0.63805234,0.7885679,-0.10274914,0.46631936827598425,2.0404356,Forest
0.1095,9.0E-4,0.1154,0.0395,0.0754,0.059,0.0309,0.0596,0.1954,0.2633,0.222,0.2899,0.0456,0.7116949035595702,0.6617942,0.8073566,-0.096929975,0.4733187203436366,1.9559323,Forest
0.1135,9.0E-4,0.1261,0.0431,0.0829,0.0662,0.0386,0.0658,0.2071,0.2697,0.2503,0.3145,0.0455,0.7462000446768847,0.6522196,0.78136504,-0.08775835,0.48511311823612385,1.9048338,Forest
0.1108,0.001,0.1366,0.0473,0.0798,0.0659,0.03515,0.0669,0.22135,0.3041,0.27935,0.3363,0.04185,0.7935859561411468,0.6723023,0.81074166,-0.09143622,0.518360190491715,2.0728378,Forest
0.108,9.0E-4,0.14,0.0504,0.079,0.0692,0.0392,0.0729,0.2106,0.2868,0.2772,0.3285,0.0421,0.7446973040270661,0.651999,0.7867827,-0.0913242,0.5001152491557175,2.0231214,Forest
0.1092,9.0E-4,0.1179,0.0408,0.07795,0.06545,0.0368,0.06375,0.17855,0.2391,0.2305,0.27175,0.03535,0.6469422080393465,0.6118031,0.7614649,-0.10542777,0.4358728609453933,1.8013752,Forest
0.11035,9.0E-4,0.1422,0.0506,0.0823,0.0703,0.0385,0.0708,0.2141,0.2843,0.2691,0.33175,0.0385,0.7753834059495703,0.6502923,0.7920324,-0.0958553,0.505458208413752,2.0227597,Forest
0.1042,7.0E-4,0.1324,0.0454,0.0769,0.0694,0.0364,0.071,0.2024,0.2651,0.2534,0.3015,0.036,0.7026983677548926,0.62577516,0.7845516,-0.109452724,0.4745792928356825,1.9077811,Forest
0.1104,7.0E-4,0.1309,0.0474,0.0798,0.0688,0.0381,0.0694,0.229,0.3138,0.2766,0.3557,0.0383,0.8054371951200963,0.6758539,0.80650073,-0.086308695,0.5330051305850768,1.9026161,Forest
0.1035,8.5E-4,0.121,0.0428,0.0751,0.06395,0.03445,0.06505,0.2029,0.27795,0.2586,0.3147,0.0482,0.7312268535264832,0.6622211,0.8026636,-0.09374008,0.4950538902294031,1.8921031,Forest
0.1164,0.001,0.114,0.0418,0.084,0.0718,0.039,0.068,0.195,0.2602,0.2627,0.2952,0.0433,0.7122997899349741,0.60871935,0.7666068,-0.11111111,0.46068087786185485,1.5877438,Forest
0.1183,0.001,0.14195,0.0558,0.08485,0.0702,0.0406,0.0717,0.1925,0.25195,0.22805,0.2846,0.04615,0.683990649290698,0.60428405,0.7503075,-0.104005635,0.4435288239780272,2.0220797,Forest
0.1141,0.001,0.1272,0.0455,0.082,0.0667,0.0379,0.067,0.1767,0.2277,0.2116,0.27,0.0464,0.6575816247877304,0.6038016,0.7538162,-0.10666665,0.4309320583049838,1.9070467,Forest
0.11335,9.0E-4,0.14615,0.0529,0.08445,0.0727,0.0405,0.0759,0.2252,0.3,0.27925,0.3331,0.04805,0.7759420596191473,0.6416954,0.78319055,-0.09666768,0.5024038356981166,2.0103161,Forest
0.1175,0.0011,0.1413,0.0519,0.0878,0.0762,0.044,0.0772,0.2178,0.2914,0.2981,0.334,0.0471,0.7716870757136555,0.6284739,0.76719576,-0.09640719,0.49544418206558,1.8543305,Forest
0.1114,9.0E-4,0.1251,0.0417,0.08185,0.07025,0.03895,0.0668,0.20105,0.2589,0.25885,0.2988,0.04285,0.7071710260238107,0.6192928,0.769356,-0.10475234,0.46526409000077334,1.780783,Forest
0.11505,9.5E-4,0.1089,0.04195,0.0841,0.06755,0.04105,0.06245,0.15845,0.21245,0.1906,0.2454,0.04405,0.5933852217525233,0.5683016,0.713388,-0.10798699,0.38975777171848164,1.6121391,Forest
0.1131,0.001,0.1514,0.0532,0.0824,0.0686,0.0383,0.0727,0.2336,0.3251,0.29575,0.3657,0.05395,0.8373401736599627,0.68408936,0.810396,-0.08285479,0.5432522189563752,2.2069972,Forest
0.1177,0.00105,0.14415,0.05265,0.08625,0.07315,0.0435,0.06965,0.19205,0.2665,0.2586,0.3079,0.05035,0.7169003307794333,0.6160609,0.75241894,-0.0962975,0.46582101761155686,1.9706084,Forest
0.11475,0.001,0.1421,0.0509,0.08295,0.07065,0.04145,0.06865,0.21665,0.2911,0.297,0.3295,0.0448,0.753209729815245,0.6468824,0.7765197,-0.088619106,0.49609620197978,2.0113237,Forest
0.11235,0.001,0.1763,0.06285,0.0833,0.0762,0.04035,0.07955,0.26545,0.35715,0.34935,0.399,0.0538,0.8822009984584551,0.6792929,0.8163195,-0.08984963,0.5727098388508842,2.3136482,Forest
0.1153,0.001,0.1627,0.05965,0.08595,0.07705,0.04305,0.0808,0.23475,0.3021,0.30295,0.3481,0.04725,0.7929349732153647,0.6375397,0.77987987,-0.09767309,0.5134657569971687,2.111616,Forest
